Название,Цена,Изменение,Общая капитализация
Bitcoin,"$20,187.44",-0.61%,"$386,999,407,657"
Ethereum,"$1,349.47",-0.02%,"$165,534,835,413"
Tether,$1.00,-0.00%,"$68,072,293,831"
BNB,$294.10,+0.45%,"$47,449,065,878"
USD Coin,$1.00,-0.00%,"$46,513,784,223"
XRP,$0.4982,-3.31%,"$24,840,144,164"
Binance USD,$0.9998,+0.03%,"$21,038,842,801"
Cardano,$0.4306,+0.56%,"$14,751,818,056"
Solana,$33.92,+0.26%,"$12,049,615,450"
Dogecoin,$0.06479,-1.39%,"$8,596,144,156"
Polygon,$0.8473,-1.23%,"$7,400,256,854"
Polkadot,$6.37,+1.12%,"$7,162,080,913"
Dai,$0.9998,+0.02%,"$6,814,845,818"
Shiba Inu,$0.00001139,+0.23%,"$6,253,644,235"
TRON,$0.06244,-0.50%,"$5,765,886,653"
Uniswap,$6.73,-0.66%,"$5,132,036,915"
Avalanche,$17.22,+0.74%,"$5,099,692,082"
Wrapped Bitcoin,"$20,171.50",-0.66%,"$4,939,122,309"
UNUS SED LEO,$4.22,-1.22%,"$4,024,071,106"
Litecoin,$54.56,+0.33%,"$3,891,059,302"
Chainlink,$7.87,-1.48%,"$3,870,347,882"
Ethereum Classic,$27.56,+0.26%,"$3,781,634,328"
Cosmos,$12.85,+1.14%,"$3,679,899,642"
FTX Token,$24.84,+0.51%,"$3,327,906,283"
Stellar,$0.1199,+0.71%,"$3,056,275,717"
NEAR Protocol,$3.70,-2.79%,"$2,961,052,115"
Cronos,$0.1102,+0.31%,"$2,783,554,254"
Monero,$146.00,-0.42%,"$2,654,816,320"
Algorand,$0.3515,+0.99%,"$2,466,138,834"
Bitcoin Cash,$122.83,-1.06%,"$2,357,417,899"
Terra Classic,$0.0002976,+2.90%,"$1,830,273,308"
Flow,$1.69,+1.12%,"$1,746,877,629"
Toncoin,$1.42,-1.38%,"$1,736,928,365"
VeChain,$0.02386,+0.70%,"$1,729,843,254"
Quant,$138.28,+2.93%,"$1,669,398,697"
Filecoin,$5.57,+0.05%,"$1,637,356,089"
ApeCoin,$5.18,+1.60%,"$1,589,671,000"
Internet Computer,$6.01,+1.76%,"$1,577,262,455"
Hedera,$0.05794,+0.42%,"$1,330,735,782"
Decentraland,$0.7031,-0.42%,"$1,304,272,559"
Tezos,$1.43,+1.85%,"$1,301,929,942"
The Sandbox,$0.8646,-2.29%,"$1,296,501,239"
Chiliz,$0.2149,+1.51%,"$1,289,754,557"
Elrond,$54.62,+2.45%,"$1,284,586,425"
EOS,$1.17,+2.27%,"$1,176,204,490"
Aave,$77.88,+0.94%,"$1,097,620,724"
Theta Network,$1.08,-0.09%,"$1,076,980,818"
Axie Infinity,$12.74,+0.70%,"$1,058,053,931"
Bitcoin SV,$49.31,-0.95%,"$946,156,778"
Pax Dollar,$0.9994,+0.52%,"$945,097,029"
OKB,$15.60,+0.79%,"$935,740,285"
KuCoin Token,$9.11,+0.62%,"$896,102,974"
TrueUSD,$1.00,+0.01%,"$891,101,552"
Zcash,$56.81,-0.33%,"$875,762,068"
Maker,$841.42,+0.73%,"$822,598,839"
eCash,$0.00004218,-0.73%,"$809,405,630"
USDD,$0.9999,-0.01%,"$786,701,965"
IOTA,$0.2738,+2.45%,"$760,939,658"
BitTorrent-New,$0.0000007928,-0.52%,"$747,394,169"
Helium,$5.71,-9.17%,"$728,631,906"
The Graph,$0.09915,+1.12%,"$684,140,858"
Neutrino USD,$0.9737,+0.08%,"$662,407,279"
PancakeSwap,$4.69,+1.73%,"$654,416,917"
Huobi Token,$4.11,-1.09%,"$630,245,425"
Neo,$8.69,+2.39%,"$613,319,685"
Klaytn,$0.1892,+0.47%,"$578,641,437"
Fantom,$0.2242,+1.42%,"$570,558,225"
PAX Gold,"$1,708.34",+0.45%,"$555,567,745"
Synthetix,$2.31,+1.13%,"$550,981,403"
THORChain,$1.64,-0.12%,"$542,505,828"
Nexo,$0.8919,+0.37%,"$499,441,176"
GateToken,$4.42,-1.15%,"$478,548,223"
Curve DAO Token,$0.8973,+0.73%,"$476,982,038"
Lido DAO,$1.52,+3.01%,"$474,374,026"
Dash,$42.09,-0.05%,"$460,613,117"
Basic Attention Token,$0.3038,+1.19%,"$454,334,425"
Enjin Coin,$0.4518,+1.09%,"$451,819,840"
Stacks,$0.3258,+0.25%,"$435,760,345"
Kava,$1.55,-0.25%,"$435,141,197"
Compound,$59.20,+1.14%,"$430,224,320"
Fei USD,$0.9949,-0.56%,"$422,822,761"
Zilliqa,$0.03141,+1.29%,"$420,121,820"
Waves,$3.80,+0.87%,"$416,595,186"
Mina,$0.5911,+0.25%,"$412,455,722"
Ravencoin,$0.03446,+3.22%,"$404,588,362"
Trust Wallet Token,$0.938,-3.12%,"$390,824,594"
Loopring,$0.2938,+1.49%,"$390,792,119"
Decred,$26.65,-0.65%,"$383,790,197"
Reserve Rights,$0.008973,+3.39%,"$379,573,439"
Convex Finance,$5.60,-4.11%,"$378,705,046"
XDC Network,$0.03056,+2.36%,"$376,059,022"
NEM,$0.04152,-0.66%,"$373,688,815"
STEPN,$0.6224,+0.35%,"$373,446,086"
Kusama,$42.97,+1.24%,"$363,987,385"
Celo,$0.7765,+0.98%,"$363,329,730"
Bitcoin Gold,$20.42,+1.08%,"$357,685,530"
Holo,$0.002023,+0.11%,"$350,605,525"
Ethereum Name Service,$17.14,-6.34%,"$347,008,580"
1inch Network,$0.581,+0.28%,"$339,248,664"
Terra,$2.53,-1.00%,"$322,735,889"
Celsius,$1.35,+1.16%,"$322,488,864"
BinaryX,$156.87,-1.09%,"$317,338,622"
Arweave,$9.43,+1.72%,"$315,037,859"
yearn.finance,"$8,284.40",-0.40%,"$303,521,423"
Oasis Network,$0.06029,+1.23%,"$303,107,847"
Gemini Dollar,$0.9994,-0.14%,"$301,295,422"
Qtum,$2.87,+0.85%,"$299,207,777"
Ankr,$0.03083,-0.09%,"$297,934,660"
Gnosis,$115.53,+4.57%,"$298,024,402"
TerraClassicUSD,$0.03031,+2.53%,"$297,450,028"
Gala,$0.04103,+0.45%,"$286,277,460"
Kadena,$1.41,-0.36%,"$279,127,069"
Theta Fuel,$0.0523,-0.18%,"$277,274,479"
IoTeX,$0.02812,+1.39%,"$268,310,445"
Braintrust,$2.18,+2.57%,"$266,466,375"
Golem,$0.2641,+0.24%,"$264,065,957"
Harmony,$0.01965,+1.81%,"$248,604,512"
OMG Network,$1.71,+1.36%,"$239,988,076"
Polymath,$0.2517,+2.74%,"$232,789,551"
Flux,$0.8201,+4.16%,"$227,885,780"
Livepeer,$9.17,+4.17%,"$227,320,016"
0x,$0.2679,+0.87%,"$227,027,178"
Balancer,$5.17,+0.55%,"$226,580,582"
Hive,$0.5064,-2.70%,"$225,475,224"
JUST,$0.02525,+1.27%,"$224,766,168"
IOST,$0.01185,+0.93%,"$220,254,761"
BORA,$0.2368,+0.05%,"$219,604,933"
ICON,$0.238,+0.88%,"$218,878,193"
Amp,$0.005102,-0.35%,"$215,448,635"
Symbol,$0.03728,+2.17%,"$208,105,432"
Serum,$0.7831,+0.60%,"$206,140,889"
Kyber Network Crystal v2,$1.15,+0.36%,"$204,107,496"
Optimism,$0.8531,+1.94%,"$200,257,980"
Ontology,$0.2254,+0.95%,"$197,307,036"
SwissBorg,$0.196,-5.46%,"$195,997,494"
WAX,$0.0859,+1.03%,"$188,035,833"
Storj,$0.4527,+0.80%,"$186,935,400"
Immutable X,$0.7913,-0.36%,"$186,180,070"
Moonbeam,$0.465,+0.37%,"$185,036,585"
Chia,$34.68,-1.68%,"$183,090,268"
Siacoin,$0.003489,+0.67%,"$182,208,341"
Casper,$0.02985,+0.91%,"$182,115,941"
MXC,$0.06805,+0.38%,"$179,802,473"
Horizen,$13.91,+2.29%,"$179,412,514"
SXP,$0.3573,+0.76%,"$178,577,994"
Audius,$0.2127,+3.47%,"$176,772,868"
WOO Network,$0.1401,+2.63%,"$161,761,288"
UMA,$2.34,-1.37%,"$161,447,191"
Smooth Love Potion,$0.003768,-14.02%,"$161,771,127"
ABBC Coin,$0.1578,+0.88%,"$160,970,981"
SKALE Network,$0.03889,+1.18%,"$155,100,455"
PlayDapp,$0.3145,+0.44%,"$153,552,728"
SushiSwap,$1.20,-4.84%,"$152,363,405"
Voyager Token,$0.5458,+1.22%,"$151,989,454"
Secret,$0.9253,+2.38%,"$151,090,437"
DigiByte,$0.009579,+1.59%,"$150,378,182"
APENFT,$0.0000005374,-2.06%,"$148,893,215"
Injective,$1.93,-5.75%,"$140,978,742"
