Категория,Анализ,Биоматериал,Описание,Стоимость,Готовность дней
Популярное,Стандартный ПЦР-тест на РНК коронавируса (SARS-CoV-2),"Мазок с зева, Мокрота","Это качественный анализ на обнаружение РНК коронавируса SARS-CoV-2. Мазок из ротоглотки нужно будет взять самостоятельно — курьер привезёт набор со всем необходимым. 

Если нужна справка на русском и английском языке, укажите это при оформлении заказа — сделаем в подарок. С ней на границе не будет проблем: лаборатория аккредитована Роспотребнадзором, а документ оформлен по всем правилам.",1990,1
Популярное,"25-OH витамин D, суммарный",Сыворотка,"Основной метаболит витамина D, по которому судят о его концентрации в организме. Это жирорастворимое вещество, необходимое для поддержания в крови уровня кальция, фосфора и магния.",1490,1
Популярное,АЧТВ,Кровь с цитратом,"Время, за которое образуется сгусток крови после присоединения к плазме хлорида кальция и других реагентов. Оно отражает работу так называемого внутреннего пути и общего каскада свертывающей системы крови человека и является наиболее чувствительным показателем свертываемости крови.
При применении очень высоких доз гепарина, например, при открытых операциях на сердце, тест на АЧТВ теряет свою чувствительность – тромбообразование сильно снижается.",290,1
Популярное,Аланинаминотрансфераза (АЛТ),Сыворотка,"Внутриклеточный фермент из группы аминотрансфераз, играющий одну из ключевых ролей в обмене аминокислот и обеспечении клеток энергией.
АЛТ катализирует реакцию трансаминирования между аланином и альфа-кетоглутаратом.
Находится во всех клетках организма, главным образом в печени и почках, меньше его в сердце и мышцах.",249,1
Популярное,"Антитела к коронавирусу SARS-Cov-2 IgM, полуколичественный",Кровь,"Исследование, которое помогает проверить наличие антител в крови к коронавирусу. IgM-антитела производятся первыми, их уровень быстро нарастает в начале инфекции, достигая максимума в острый период болезни, а затем постепенно снижается, полностью исчезая к моменту выздоровления.",1490,1
Популярное,"Антитела к коронавирусу SARS-Cov-2, IgG, количественный",Кровь,"Анализ крови на антитела IgG к вирусу SARS-CoV-2 – исследование, которое помогает проверить наличие антител в крови к коронавирусу. IgG-антитела начинают появляются в крови в острой стадии инфекционного процесса, но максимальная их выработка происходит обычно через 10-14 дней после перенесенной инфекции. Выявление IgG-антител к SARS-CoV-2 свидетельствует, что человек выздоравливает или уже переболел коронавирусной инфекцией.",1390,1
Популярное,Антитела к микросомальной тиреопероксидазе (АТ-ТПО),Сыворотка,"Антитела к тиреопероксидазе – специфические иммуноглобулины, направленные против фермента, содержащегося в клетках щитовидной железы и отвечающего за образование активной формы йода для синтеза тиреоидных гормонов. Они являются специфичным маркером аутоиммунных заболеваний щитовидной железы.",690,1
Популярное,Аспартатаминотрансфераза (АСТ),Сыворотка,"Аспартатаминотрансфераза (АСТ) – фермент, который находится во всех клетках организма, но, главным образом,  в клетках сердца и печени и, в меньшей степени, в почках и мышцах. В норме активность АСТ в крови очень низкая. При повреждении тканей печени или мышц она высвобождается в кровь. Таким образом, АСТ является показателем повреждений печени.",290,1
Популярное,Билирубин общий,Сыворотка,"Билирубин общий — продукт распада гемоглобина, миоглобина и цитохромов, образуется преимущественно в результате распада гемовой части гемоглобина эритроцитов после их гибели, в меньшей степени при распаде других гемсодержащих белков.",249,1
Популярное,Витамин B12,Сыворотка,"Витамин B12 (цианокобаламин) – водорастворимый витамин, играет важную роль в нормальном функционировании нервной системы и формировании клеток крови.
Его дефицит может вызвать серьезные изменения в организме. B12 накапливается преимущественно в печени и селезенке.",1190,1
Популярное,Глюкоза,Кровь с фторидом натрия,"Органическое соединение, основная функция которого- источник энергии для организма. Углеводы расщепляются на глюкозу и другие простые сахара, которые усваиваются тонким кишечником и поступают в кровь.
Мозгу и нервным клеткам она нужна не только как источник энергии, но и как регулятор деятельности, поскольку они могут функционировать только если содержание глюкозы в крови достигает определенного уровня.",249,1
Популярное,Гомоцистеин,Сыворотка,"Гомоцистеин — серосодержащая аминокислота плазмы крови, является продуктом обмена аминокислот метионина и цистеина. Гомоцистеин обычно содержится в клетках организма в очень небольших концентрациях. Метионин является одной из одиннадцати незаменимых аминокислот, то есть таких, которые не образуются в организме и поступают в него только с пищей. Высокие уровни гомоцистеина в крови ассоциированы с риском сердечно-сосудистых заболеваний, сахарного диабета, болезни Альцгеймера и остеопороза.",1890,1
Популярное,Клинический анализ крови с лейкоцитарной формулой и СОЭ,Сыворотка,"Клинический  анализ крови – это развернутое исследование качественного и количественного состава крови, в ходе которого дается характеристика эритроцитов и их специфических показателей (MCV, MCH, MCHC, RDW), лейкоцитов и их разновидностей в процентном соотношении (лейкоцитарная формула) и тромбоцитов, а также определяется скорость оседания эритроцитов (СОЭ). Используется для диагностики и контроля лечения многих заболеваний.",590,1
Популярное,Креатинин,Сыворотка,"Креатинин — конечный продукт метаболизма мышечного креатина, хотя незначительный вклад в его продукцию может вносить и потребление в пищу мяса. Этот показатель отражает баланс между продукцией креатинина и его экскрецией почками.",249,1
Популярное,Мочевина,Сыворотка,Основной продукт распада белков. Выводится из организма вместе с лишним азотом.,249,1
